year,date,time_hhmm,minutes_since_midnight,date_raw,time_raw
1988,1988-04-26,12:31,751,4/26,12:31
1989,1989-05-05,09:05,545,5/5,9:05
1990,1990-04-26,09:40,580,4/26,9:40
1991,1991-04-22,04:16,256,4/22,4:16
1992,1992-05-06,01:19,79,5/6,1:19
1993,1993-04-29,01:38,98,4/29,1:38
1994,1994-05-04,12:12,732,5/4,12:12
1995,1995-04-23,02:50,170,4/23,2:50
1996,1996-05-01,11:29,689,5/1,11:29
1997,1997-05-01,07:43,463,5/1,7:43
1998,1998-04-16,06:41,401,4/16,6:41
1999,1999-04-26,02:37,157,4/26,2:37
2000,2000-04-30,06:19,379,4/30,6:19
2001,2001-05-04,01:44,104,5/4,1:44
2003,2003-04-28,09:45,585,4/28,9:45
2004,2004-04-21,03:25,205,4/21,3:25
2005,2005-04-21,02:50,170,4/21,2:50
2007,2007-05-01,04:45,285,5/1,4:45
2009,2009-04-20,10:21,621,4/20,10:21
2010,2010-04-05,02:46,166,4/05,2:46
2011,2011-04-27,10:17,617,4/27,10:17
2012,2012-04-08,05:25,325,4/8,5:25
2013,2013-04-24,08:46,526,4/24,8:46
2015,2015-04-29,06:14,374,4/29,6:14
2016,2016-04-12,05:04,304,4/12,5:04
2017,2017-04-23,04:32,272,4/23,4:32
2018,2018-05-04,11:27,687,5/4,11:27
2019,2019-04-25,05:39,339,4/25,5:39
2021,2021-04-10,04:57,297,4/10,4:57
2023,2023-04-17,10:18,618,4/17,10:18
2024,2024-04-14,04:02,242,4/14,4:02
2025,2025-04-17,08:41,521,4/17,8:41
