STATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00439184,1996-02-20,0.0,0.0,,,-6.1,-11.1,-6.1
USC00439184,1996-02-21,0.8,0.0,,,3.3,-6.1,3.3
USC00439184,1996-02-22,21.8,0.0,,,5.6,1.1,1.7
USC00439184,1996-02-23,2.5,0.0,,,7.8,0.0,0.0
USC00439184,1996-02-24,0.0,0.0,,,7.8,0.6,2.8
USC00439184,1996-02-25,18.3,152.0,,,4.4,-1.7,-1.7
USC00439184,1996-02-26,3.3,25.0,,,0.0,-7.2,-10.0
USC00439184,1996-02-27,0.0,0.0,,,-1.1,-11.7,-10.6
USC00439184,1996-02-28,0.0,0.0,,,4.4,-3.3,-0.6
USC00439184,1996-02-29,5.3,38.0,,,5.0,-17.8,-17.8
USC00439184,1996-03-01,0.0,0.0,,,-10.6,-23.3,-23.3
USC00439184,1996-03-02,0.0,0.0,,,-1.7,-19.4,-11.7
USC00439184,1996-03-03,0.0,0.0,,,-1.1,-11.1,-7.2
USC00439184,1996-03-04,1.8,38.0,,,0.0,-15.6,-15.0
USC00439184,1996-03-05,0.0,0.0,,,-7.8,-12.8,-12.2
USC00439184,1996-03-06,3.0,38.0,,,-3.3,-7.2,-7.2
USC00439184,1996-03-07,1.3,51.0,,,0.0,-15.0,-15.0
USC00439184,1996-03-08,7.6,140.0,,,-7.8,-16.1,-15.0
USC00439184,1996-03-09,4.6,114.0,,,-7.8,-19.4,-18.3
USC00439184,1996-03-10,0.0,0.0,,,-8.9,-26.1,-25.0
USC00439184,1996-03-11,0.0,0.0,,,-0.6,-22.2,-21.1
USC00439184,1996-03-12,0.0,0.0,,,5.0,-17.8,-17.8
USC00439184,1996-03-13,0.0,0.0,,,7.2,-11.7,-11.1
USC00439184,1996-03-14,0.0,0.0,,,10.0,-4.4,-3.3
USC00439184,1996-03-15,0.0,0.0,,,12.2,0.0,1.1
USC00439184,1996-03-16,0.0,0.0,,,7.2,-10.6,-10.6
USC00439184,1996-03-17,0.0,0.0,,,-2.8,-12.2,-11.7
USC00439184,1996-03-18,0.0,0.0,,,3.3,-13.9,-13.3
USC00439184,1996-03-19,0.0,0.0,,,7.2,-11.1,-10.6
USC00439184,1996-03-20,0.0,0.0,,,11.7,0.0,0.0
USC00439184,1996-03-21,12.4,127.0,,,5.6,-2.2,-1.7
USC00439184,1996-03-22,2.8,25.0,,,5.6,-2.8,-2.2
USC00439184,1996-03-23,1.0,18.0,,,2.8,-8.9,-7.8
USC00439184,1996-03-24,0.8,51.0,,,-1.1,-9.4,-8.9
USC00439184,1996-03-25,0.0,0.0,,,1.7,-6.1,-1.7
USC00439184,1996-03-26,1.3,0.0,,,13.3,2.2,2.8
USC00439184,1996-03-27,0.0,0.0,,,6.1,-11.7,-11.7
USC00439184,1996-03-28,0.0,0.0,,,-5.6,-16.1,-14.4
USC00439184,1996-03-29,0.0,0.0,,,3.9,-11.7,-11.7
USC00439184,1996-03-30,0.0,0.0,,,8.9,-7.8,-7.8
USC00439184,1996-03-31,0.0,0.0,,,2.8,-9.4,-8.3
USC00439184,1996-04-01,0.0,0.0,,,7.8,-6.7,-6.1
USC00439184,1996-04-02,2.8,25.0,,,17.2,-1.7,-1.7
USC00439184,1996-04-03,0.0,0.0,0.0,,2.8,-7.8,-7.2
USC00439184,1996-04-04,0.0,0.0,0.0,,1.1,-10.6,-10.6
USC00439184,1996-04-05,0.0,0.0,0.0,,2.8,-4.4,-3.3
USC00439184,1996-04-06,0.0,0.0,0.0,,5.6,-5.0,-5.0
USC00439184,1996-04-07,0.0,0.0,0.0,,10.0,-2.2,-2.2
USC00439184,1996-04-08,7.6,127.0,,,4.4,-3.3,-3.3
USC00439184,1996-04-09,5.1,51.0,,,6.7,-4.4,-2.8
USC00439184,1996-04-10,0.0,0.0,,,5.6,-5.6,-5.6
USC00439184,1996-04-11,21.1,229.0,,,3.9,-3.3,-2.2
USC00439184,1996-04-12,0.0,0.0,,,9.4,0.0,0.6
USC00439184,1996-04-13,0.0,0.0,,,7.8,-6.1,-5.0
USC00439184,1996-04-14,16.8,64.0,,,10.6,-1.7,-1.7
USC00439184,1996-04-15,7.1,38.0,,,1.1,-6.1,-5.0
USC00439184,1996-04-16,4.3,0.0,,,11.1,-1.1,-0.6
USC00439184,1996-04-17,40.1,127.0,,,3.9,-1.7,-1.7
USC00439184,1996-04-18,2.8,13.0,,,3.9,-3.3,-2.8
USC00439184,1996-04-19,0.0,0.0,,,8.9,-3.3,-1.7
USC00439184,1996-04-20,0.0,0.0,,,17.8,1.1,2.8
USC00439184,1996-04-21,11.7,0.0,,,20.0,6.1,7.2
USC00439184,1996-04-22,0.0,0.0,,,17.2,1.1,2.8
USC00439184,1996-04-23,2.8,0.0,,,20.6,5.0,6.7
USC00439184,1996-04-24,15.2,0.0,,,19.4,0.0,0.0
USC00439184,1996-04-25,0.0,0.0,,,7.2,-4.4,-2.2
USC00439184,1996-04-26,4.6,0.0,,,13.9,2.8,7.2
USC00439184,1996-04-27,21.1,0.0,0.0,,21.1,3.9,4.4
USC00439184,1996-04-28,0.0,0.0,0.0,,7.2,-5.6,-5.6
USC00439184,1996-04-29,0.0,0.0,0.0,,8.9,-5.0,-4.4
USC00439184,1996-04-30,3.0,0.0,0.0,,10.6,0.0,2.8
USC00439184,1996-05-01,21.6,0.0,0.0,,11.7,1.7,2.2
